Flt, Pres.,Flag,   CO2
PT7,700,1,310.76
PT7,700,1,313.14
PT5,500,1,314.37
PT5,500,1,312.85
PT5,500,1,312.95
PT5,500,1,313.99
PT5,500,1,312.28
SK5,500,1,318.61
LK5,500,1,314.98
SK5,500,1,317.19
LK5,500,1,315.87
LK5,500,1,315.42
SK5,500,1,317.55
SK5,500,1,319.14
LK5,500,1,315.61
SK5,500,1,315.87
LK5,500,1,315.42
SK5,500,1,317.02
LK5,500,1,315.78
SK5,500,1,318.34
LK5,500,1,315.08
SK5,500,1,316.31
LK5,500,1,315.42
SK5,500,1,316.84
SK5,500,1,318.87
LK5,500,1,315.61
SK5,500,1,316.14
LK5,500,1,315.25
SK5,500,1,315.61
LK5,500,1,314.19
LK5,500,1,314.89
LN7,700,1,315.16
LN7,700,1,314.1
LN7,700,1,314.55
LN7,700,1,314.8
LN7,700,1,315.42
LN7,700,1,315.51
LN7,700,1,316.31
LN7,700,7,318.53
LN7,700,1,316.57
LN7,700,1,316.29
LN7,700,1,315.78
LN7,700,1,315.26
PT7,700,1,319.49
PT7,700,8,338.71
PT7,700,1,320.37
PT7,700,1,318.61
PT5,500,8,332.05
PT5,500,8,343.61
SK5,500,8,322.57
SK5,500,1,317.67
SK5,500,1,318.31
SK5,500,1,317.31
SK5,500,1,317.58
SK5,500,1,317.49
SK5,500,8,352.4
SK5,500,1,318.87
SK5,500,8,321.19
SK5,500,1,317.58
SK5,500,1,317.58
SK5,500,1,316.29
PT7,700,1,316.84
PT7,700,1,318.04
PT7,700,1,317.02
PT7,700,1,317.76
PT7,700,1,318.04
PT5,500,1,317.94
PT5,500,1,317.94
PT5,500,1,317.02
PT5,500,1,317.02
PT5,500,1,317.12
PT5,500,1,317.02
PT5,500,1,317.67
LK5,500,1,319.4
LK5,500,8,339.04
LK5,500,1,319.4
LK5,500,1,318.87
LK5,500,8,342.46
LK5,500,8,324.46
LK5,500,1,319.58
LK5,500,1,319.49
LK5,500,1,318.07
LK5,500,1,318.07
LK5,500,1,318.25
LK5,500,1,318.25
SK5,500,1,320.36
SK5,500,1,319.39
SK5,500,1,318.78
SK5,500,1,318.6
SK5,500,1,317.71
SK5,500,1,318.07
SK5,500,1,320.01
SK5,500,1,320.81
SK5,500,1,317.54
SK5,500,1,320.28
SK5,500,1,319.3
LN7,700,8,373.2
LN7,700,1,317.9
LN7,700,1,317.71
LN7,700,7,319.65
LN7,700,1,317.99
LN7,700,8,320.73
LN7,700,1,318.42
LN7,700,8,320.02
LN7,700,1,318.42
LN7,700,7,318.96
LN7,700,7,319.04
PT7,700,1,320.28
PT7,700,1,320.73
PT7,700,1,320.28
PT7,700,1,321.34
PT7,700,1,321.44
PT7,700,1,323.92
PT5,500,1,323.2
PT5,500,1,324.55
PT5,500,8,364.03
PT5,500,1,321.16
PT5,500,1,319.31
PT5,500,1,319.58
LN7,700,1,319.16
LN7,700,1,318.97
LN7,700,1,318.71
LN7,700,1,319.43
LN7,700,1,319.16
LN7,700,1,318.8
LN7,700,1,318.97
LN7,700,1,318.44
LN7,700,1,318.53
LN7,700,1,318.89
LN7,700,1,318.89
LK5,500,1,318.31
LK5,500,1,318.87
LK5,500,1,319.24
LK5,500,1,319.24
LK5,500,1,318.96
LK5,500,1,319.33
LK5,500,1,319.79
LK5,500,1,319.42
LK5,500,1,319.79
LK5,500,1,319.89
LK5,500,1,319.89
SK5,500,1,324.77
PT5,500,1,320.6
PT5,500,1,320.69
PT5,500,1,320.24
PT5,500,1,320.5
PT5,500,1,319.69
PT5,500,1,319.25
PT5,500,1,320.96
PT5,500,1,320.05
PT5,500,8,345.2
PT5,500,1,320.05
PT5,500,1,320.6
PT5,500,1,320.78
SK5,500,1,320.97
SK5,500,1,320.24
SK5,500,1,319.8
SK5,500,1,320.33
SK5,500,1,320.24
SK5,500,1,320.78
SK5,500,1,320.6
SK5,500,1,321.78
SK5,500,8,326.96
SK5,500,1,320.42
SK5,500,1,322.05
SK5,500,8,342.19
LK5,500,1,322.12
LK5,500,1,320.21
LK5,500,1,321.51
LK5,500,1,321.6
LK5,500,1,320.21
LK5,500,1,320.65
LK5,500,1,320.74
LK5,500,1,321.6
LK5,500,1,319.78
LK5,500,1,320.13
LK5,500,1,319.6
LK5,500,1,319.43
SK5,500,1,320.69
SK5,500,1,320.16
SK5,500,1,320.69
SK5,500,1,322.19
SK5,500,1,320.86
SK5,500,1,321.57
SK5,500,1,321.12
SK5,500,1,321.84
SK5,500,1,321.22
SK5,500,1,320.86
SK5,500,1,319.9
SK5,500,8,325.11
PT7,700,1,321.42
PT7,700,1,321.15
PT7,700,1,320.88
PT7,700,1,320.5
PT7,700,1,321.24
PT7,700,1,321.79
PT5,500,1,321.24
PT5,500,1,321.42
PT5,500,1,320.5
PT5,500,1,322.16
SK5,500,1,320.09
SK5,500,1,320
SK5,500,1,317.8
SK5,500,1,319.03
SK5,500,1,317.11
SK5,500,1,318.06
SK5,500,1,318.32
SK5,500,1,317.19
SK5,500,1,315.01
SK5,500,1,315.18
SK5,500,1,319.12
SK5,500,1,318.06
PT7,700,1,319.12
PT7,700,1,319.21
PT7,700,1,317.89
PT7,700,1,318.6
PT5,500,1,317.54
PT5,500,1,317.1
PT5,500,1,317.01
PT5,500,1,317.7
PT5,500,1,317.88
PT5,500,1,316.92
SK5,500,8,326.13
SK5,500,8,324.45
SK5,500,8,320.84
SK5,500,8,323.39
SK5,500,8,323.48
SK5,500,8,328.43
SK5,500,8,322.94
SK5,500,8,320.05
SK5,500,8,317.88
SK5,500,8,363.87
SK5,500,8,317.79
SK5,500,8,315.62
PT7,700,1,311.45
PT7,700,1,310.94
PT7,700,1,310.77
PT7,700,1,310.68
PT7,700,1,311.37
PT5,500,1,313.01
PT5,500,1,311.54
PT5,500,1,311.97
PT5,500,1,312.15
PT5,500,1,309.64
PT5,500,1,312.15
PT5,500,1,312.67
PT7,700,1,319.85
PT7,700,8,332.69
PT7,700,1,320.65
PT7,700,1,323.2
PT7,700,1,318.97
PT5,500,1,320.02
PT5,500,1,320.02
PT5,500,1,319.32
PT5,500,1,318.61
PT5,500,1,318.97
PT5,500,1,318.18
PT5,500,1,317.91
SK5,500,8,393.43
SK5,500,8,331.16
SK5,500,8,364.8
SK5,500,8,332.32
SK5,500,8,331.42
SK5,500,8,332.32
SK5,500,8,334.5
SK5,500,8,340.33
SK5,500,8,330.65
SK5,500,8,333.72
LK5,500,1,317.74
LK5,500,1,317.65
LK5,500,1,318.09
LK5,500,1,318.36
LK5,500,1,318.45
LK5,500,1,317.39
LK5,500,1,318.09
LK5,500,1,318.8
LK5,500,1,318.62
LK5,500,1,318.45
LK5,500,1,318.54
LK5,500,1,318.54
LK5,500,1,318.8
LK5,500,1,318.09
LK5,500,1,318.54
LK5,500,1,318.27
LK5,500,1,318.17
LK5,500,1,318.17
LK5,500,1,318.09
LK5,500,1,318.09
LK5,500,1,318.09
LK5,500,1,318.88
